City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,salalah,17.0151,54.0924,75.29,83.0,20.0,3.44,OM,1706484791.0
145,nova vicosa,-17.8919,-39.3719,76.55,92.0,100.0,10.98,BR,1706484500.0
146,klyuchi,52.2667,79.1667,-2.63,98.0,85.0,5.17,RU,1706484791.0
147,sherghati,24.5667,84.7833,49.62,57.0,63.0,3.31,IN,1706484791.0
148,gizo,-8.103,156.8419,81.41,82.0,100.0,9.42,SB,1706484792.0
149,chauk,20.8833,94.8167,61.97,71.0,17.0,3.29,MM,1706484792.0
150,manggar,-2.8833,108.2667,79.02,88.0,88.0,7.31,ID,1706484792.0
151,gurupi,-11.7292,-49.0686,71.56,95.0,100.0,3.65,BR,1706484792.0
152,bonthe,7.5264,-12.505,78.57,82.0,9.0,6.98,SL,1706484793.0
153,edd,13.9297,41.6925,75.96,80.0,97.0,9.55,ER,1706484793.0
154,abay,49.6311,72.8539,-9.02,100.0,75.0,2.55,KZ,1706484793.0
155,new norfolk,-42.7826,147.0587,73.71,61.0,32.0,8.84,AU,1706484793.0
156,constantia,44.1833,28.65,36.7,82.0,100.0,18.95,RO,1706484793.0
157,acapulco de juarez,16.8634,-99.8901,84.02,70.0,75.0,10.36,MX,1706484646.0
158,kavaratti,10.5669,72.642,81.05,68.0,19.0,9.1,IN,1706484794.0
159,badger,64.8,-147.5333,-20.29,66.0,75.0,0.0,US,1706484794.0
160,hatton,6.8916,80.5955,59.76,92.0,46.0,3.69,LK,1706484794.0
161,tazacorte,28.629,-17.9293,68.14,24.0,0.0,8.99,ES,1706484795.0
162,bouna,9.2667,-3.0,74.62,18.0,0.0,4.65,CI,1706484795.0
163,yoichi,43.2039,140.7703,33.55,76.0,94.0,5.55,JP,1706484795.0
164,al hazm,16.1641,44.7769,70.56,41.0,91.0,3.0,YE,1706484795.0
165,simplicio mendes,-7.8539,-41.9103,75.09,86.0,99.0,4.36,BR,1706484796.0
166,umba,66.6871,34.3429,33.28,88.0,100.0,15.57,RU,1706484796.0
167,bridgewater,44.3835,-64.5155,33.48,97.0,100.0,0.0,CA,1706484649.0
168,lobujya,27.95,86.8167,-0.09,71.0,8.0,4.09,NP,1706484796.0
169,castillos,-34.1667,-53.8333,68.29,81.0,60.0,7.05,UY,1706484651.0
170,ust-nera,64.5667,143.2,-40.56,100.0,81.0,6.87,RU,1706484797.0
171,puerto san carlos,,,,,,,,
